Time [s],delta_VeraGrid,omega_VeraGrid,et_VeraGrid,dline_from_VeraGrid,Vline_from_VeraGrid,dline_to_VeraGrid,Vline_to_VeraGrid,Ql_VeraGrid,Pl_VeraGrid,psid_VeraGrid,psiq_VeraGrid,i_d_VeraGrid,i_q_VeraGrid,v_d_VeraGrid,v_q_VeraGrid,t_e_VeraGrid,P_g_VeraGrid,Q_g_VeraGrid,tm_VeraGrid,u_cos_VeraGrid,u_sin_VeraGrid,int_sin2_VeraGrid,int_xcosx_VeraGrid,Pline_from_VeraGrid,Qline_from_VeraGrid,Vg_VeraGrid,dg_VeraGrid,Pline_to_VeraGrid,Qline_to_VeraGrid
0.0,0.05958575704448295,1.0,0.0,0.0,1.0,-0.004619837289237448,0.9908931060406598,-0.09999990438042076,-0.09999990462599727,1.027050141904096,-0.08276449862129004,0.07737998272236533,0.09608282648851418,0.059550503804580435,0.9982252939575418,0.10508619605291579,0.10052032467127514,0.07152087527510353,0.10508619605291579,0.9982252939575418,0.05955050380458044,7.046893941796417e-05,-0.9946769321059655,0.10052032467127514,0.07152087527510353,1.0,0.0,-0.09999990462599727,-0.09999990438042076
0.001,0.05986627580539704,1.0008929189485898,8.929189485898086e-07,-0.001078676158012541,0.9851230422117957,-0.0058269427681775085,0.9758431211311246,-0.09999990438042076,-0.09999990462599727,1.0125105446603602,-0.08388890507735604,0.07962596085543452,0.09738817059402376,0.06000111682072568,0.983294093482153,0.10528628432352588,0.10053885949938532,0.07245233799622111,0.9990981518619242,-0.9909209856696246,-0.06138538310735786,5.844381448517279e-05,-0.994662114894358,0.10053885949938532,0.07245233799622111,0.9851230422117957,-0.001078676158012541,-0.09999990462599727,-0.09999990438042076
0.002,0.06042674781600571,1.0017840378190606,2.676956767650281e-06,-0.0005182041474035187,0.9851230422117964,-0.005266470757568378,0.9758431211311253,-0.09999990438042076,-0.09999990462599727,1.0125105446603606,-0.08388890507735557,0.07962596085543394,0.0973881705940232,0.06000111682072538,0.9832940934821537,0.10528628432352527,0.10053885949938478,0.07245233799622067,0.998189192613263,-0.9909209856696253,-0.06138538310734602,5.844381448517146e-05,-0.994662114894358,0.10053885949938478,0.07245233799622067,0.9851230422117964,-0.0005182041474035187,-0.09999990462599727,-0.09999990438042076
0.003,0.0612666059055702,1.002673351328998,5.3503080966483605e-06,0.00032165394216018654,0.9851230422117984,-0.004426612668004756,0.9758431211311274,-0.09999990438042076,-0.09999990462599727,1.0125105446603626,-0.08388890507735576,0.07962596085543162,0.09738817059402344,0.06000111682072628,0.9832940934821557,0.10528628432352553,0.10053885949938512,0.07245233799621843,0.9972731455900353,-0.9909209856696253,-0.06138538310734681,5.8443814485174397e-05,-0.994662114894358,0.10053885949938512,0.07245233799621843,0.9851230422117984,0.00032165394216018654,-0.09999990462599727,-0.09999990438042076
0.004,0.06238528125282161,1.0035608542246022,8.911162321250462e-06,0.0014403292894120522,0.985123042211795,-0.003307937320752736,0.9758431211311239,-0.09999990438042076,-0.09999990462599727,1.0125105446603595,-0.08388890507735622,0.07962596085543529,0.09738817059402395,0.060001116820725627,0.9832940934821524,0.10528628432352609,0.10053885949938549,0.0724523379962218,0.9963500341521853,-0.9909209856696252,-0.06138538310734636,5.844381448517269e-05,-0.994662114894358,0.10053885949938549,0.0724523379962218,0.985123042211795,0.0014403292894120522,-0.09999990462599727,-0.09999990438042076
0.005,0.06378220339494882,1.0044465412806813,1.3357703601931749e-05,0.002837251431539166,0.9851230422117984,-0.001911015178625716,0.9758431211311274,-0.09999990438042076,-0.09999990462599727,1.0125105446603626,-0.08388890507735544,0.07962596085543175,0.09738817059402305,0.06000111682072591,0.9832940934821557,0.10528628432352512,0.10053885949938474,0.07245233799621861,0.9954198816832995,-0.9909209856696253,-0.061385383107346446,5.8443814485173014e-05,-0.994662114894358,0.10053885949938474,0.07245233799621861,0.9851230422117984,0.002837251431539166,-0.09999990462599727,-0.09999990438042076
0.006,0.06545680023658437,1.0053304073006475,1.8688110902579253e-05,0.004511848273174773,0.9851230422117967,-0.00023641833699018203,0.9758431211311256,-0.09999990438042076,-0.09999990462599727,1.012510544660361,-0.08388890507735582,0.07962596085543351,0.0973881705940235,0.060001116820725765,0.983294093482154,0.1052862843235256,0.10053885949938511,0.0724523379962202,0.9944827115903268,-0.9909209856696253,-0.0613853831073464,5.844381448517282e-05,-0.994662114894358,0.10053885949938511,0.0724523379962202,0.9851230422117967,0.004511848273174773,-0.09999990462599727,-0.09999990438042076
0.007,0.0674084980587889,1.0062124471165108,2.4900558019090017e-05,0.006463546095379689,0.9851230422117954,0.0017152794852148773,0.9758431211311241,-0.09999990438042076,-0.09999990462599727,1.0125105446603597,-0.08388890507735582,0.07962596085543505,0.0973881705940235,0.0600011168207253,0.9832940934821527,0.10528628432352559,0.10053885949938501,0.07245233799622165,0.9935385473032984,-0.9909209856696253,-0.06138538310734601,5.8443814485171354e-05,-0.994662114894358,0.10053885949938501,0.07245233799622165,0.9851230422117954,0.006463546095379689,-0.09999990462599727,-0.09999990438042076
0.008,0.06963672152803364,1.0070926555888735,3.199321360796349e-05,0.008691769564624339,0.9851230422117997,0.003943502954459478,0.9758431211311287,-0.09999990438042076,-0.09999990462599727,1.0125105446603637,-0.08388890507735479,0.07962596085543042,0.0973881705940223,0.06000111682072567,0.983294093482157,0.1052862843235243,0.10053885949938403,0.07245233799621748,0.992587412275047,-0.9909209856696253,-0.061385383107346106,5.844381448517171e-05,-0.994662114894358,0.10053885949938403,0.07245233799621748,0.9851230422117997,0.008691769564624339,-0.09999990462599727,-0.09999990438042076
0.009000000000000001,0.07214089370518102,1.007971027606924,3.9964241214887486e-05,0.011195941741771768,0.985123042211798,0.006447675131606847,0.975843121131127,-0.09999990438042076,-0.09999990462599727,1.0125105446603622,-0.08388890507735516,0.07962596085543217,0.09738817059402274,0.06000111682072552,0.9832940934821554,0.10528628432352478,0.1005388594993844,0.07245233799621906,0.9916293299809272,-0.9909209856696253,-0.061385383107346043,5.844381448517154e-05,-0.994662114894358,0.1005388594993844,0.07245233799621906,0.985123042211798,0.011195941741771768,-0.09999990462599727,-0.09999990438042076
0.010000000000000002,0.07492043605446327,1.0088475580884306,4.881179930331811e-05,0.013975484091054383,0.9851230422117977,0.009227217480889682,0.9758431211311267,-0.09999990438042076,-0.09999990462599727,1.0125105446603617,-0.08388890507735493,0.07962596085543265,0.09738817059402247,0.06000111682072514,0.983294093482155,0.10528628432352449,0.10053885949938408,0.07245233799621956,0.9906643239185363,-0.9909209856696253,-0.06138538310734568,5.844381448517019e-05,-0.994662114894358,0.10053885949938408,0.07245233799621956,0.9851230422117977,0.013975484091054383,-0.09999990462599727,-0.09999990438042076
0.011000000000000003,0.07797476845245899,1.0097222419797347,5.853404128305293e-05,0.01702981648904968,0.9851230422117989,0.012281549878884893,0.975843121131128,-0.09999990438042076,-0.09999990462599727,1.012510544660363,-0.08388890507735498,0.07962596085543122,0.09738817059402254,0.060001116820725627,0.9832940934821562,0.10528628432352456,0.10053885949938422,0.0724523379962182,0.9896924176074348,-0.9909209856696253,-0.061385383107346106,5.844381448517177e-05,-0.994662114894358,0.10053885949938422,0.0724523379962182,0.9851230422117989,0.01702981648904968,-0.09999990462599727,-0.09999990438042076
0.012000000000000004,0.08130330919706745,1.0105950742557444,6.912911553879723e-05,0.020358357233657785,0.985123042211798,0.015610090623492903,0.975843121131127,-0.09999990438042076,-0.09999990462599727,1.0125105446603624,-0.08388890507735554,0.07962596085543204,0.09738817059402316,0.060001116820725925,0.9832940934821554,0.10528628432352524,0.10053885949938483,0.07245233799621886,0.9887136345888679,-0.9909209856696253,-0.06138538310734647,5.844381448517312e-05,-0.994662114894358,0.10053885949938483,0.07245233799621886,0.985123042211798,0.020358357233657785,-0.09999990462599727,-0.09999990438042076
0.013000000000000005,0.08490547501648091,1.0114660499199264,8.059516545872364e-05,0.023960523053071944,0.9851230422117998,0.019212256442907062,0.9758431211311288,-0.09999990438042076,-0.09999990462599727,1.0125105446603637,-0.08388890507735446,0.07962596085543042,0.09738817059402191,0.060001116820725335,0.9832940934821571,0.1052862843235239,0.10053885949938364,0.07245233799621754,0.9877279984254864,-0.9909209856696253,-0.061385383107345766,5.844381448517048e-05,-0.994662114894358,0.10053885949938364,0.07245233799621754,0.9851230422117998,0.023960523053071944,-0.09999990462599727,-0.09999990438042076
0.014000000000000005,0.0887806810781542,1.0123351640042997,9.293032946302328e-05,0.027835729114744908,0.9851230422117979,0.02308746250458001,0.9758431211311268,-0.09999990438042076,-0.09999990462599727,1.0125105446603622,-0.08388890507735523,0.07962596085543228,0.09738817059402281,0.06000111682072555,0.9832940934821552,0.10528628432352485,0.10053885949938446,0.07245233799621914,0.9867355327010703,-0.9909209856696253,-0.06138538310734609,5.844381448517174e-05,-0.994662114894358,0.10053885949938446,0.07245233799621914,0.9851230422117979,0.027835729114744908,-0.09999990462599727,-0.09999990438042076
0.015000000000000006,0.09292834099777228,1.013202411569427,0.00010613274103245027,0.03198338903436333,0.9851230422117985,0.02723512242419839,0.9758431211311276,-0.09999990438042076,-0.09999990462599727,1.0125105446603626,-0.08388890507735476,0.07962596085543176,0.09738817059402227,0.06000111682072523,0.9832940934821559,0.10528628432352427,0.10053885949938393,0.07245233799621877,0.9857362610202485,-0.9909209856696253,-0.06138538310734573,5.8443814485170385e-05,-0.994662114894358,0.10053885949938393,0.07245233799621877,0.9851230422117985,0.03198338903436333,-0.09999990462599727,-0.09999990438042076
0.016000000000000007,0.09734786684821493,1.0140677877044073,0.00012020052873685749,0.03640291488480531,0.9851230422117956,0.03165464827464049,0.9758431211311245,-0.09999990438042076,-0.09999990462599727,1.01251054466036,-0.08388890507735614,0.0796259608554347,0.09738817059402387,0.060001116820725724,0.9832940934821529,0.10528628432352599,0.10053885949938542,0.07245233799622126,0.9847302070082242,-0.9909209856696253,-0.06138538310734641,5.8443814485172926e-05,-0.994662114894358,0.10053885949938542,0.07245233799622126,0.9851230422117956,0.03640291488480531,-0.09999990462599727,-0.09999990438042076
0.017000000000000008,0.1020386691685193,1.0149312875268675,0.0001351318162637249,0.04109371720510998,0.985123042211798,0.03634545059494512,0.975843121131127,-0.09999990438042076,-0.09999990462599727,1.0125105446603622,-0.0838889050773552,0.07962596085543214,0.09738817059402279,0.060001116820725564,0.9832940934821554,0.10528628432352483,0.10053885949938443,0.07245233799621902,0.9837173943104953,-0.9909209856696253,-0.061385383107346106,5.8443814485171734e-05,-0.994662114894358,0.10053885949938443,0.07245233799621902,0.985123042211798,0.04109371720510998,-0.09999990462599727,-0.09999990438042076
0.01800000000000001,0.10700015697283927,1.0157929061829536,0.00015092472244667847,0.04605520500942994,0.9851230422117995,0.041306938399265074,0.9758431211311285,-0.09999990438042076,-0.09999990462599727,1.0125105446603635,-0.08388890507735487,0.0796259608554307,0.09738817059402241,0.06000111682072567,0.9832940934821568,0.10528628432352442,0.10053885949938413,0.07245233799621772,0.9826978465925796,-0.9909209856696253,-0.06138538310734612,5.844381448517178e-05,-0.994662114894358,0.10053885949938413,0.07245233799621772,0.9851230422117995,0.04605520500942994,-0.09999990462599727,-0.09999990438042076
0.01900000000000001,0.1122317377594025,1.0166526388473225,0.00016757736129400095,0.05128678579599247,0.9851230422117974,0.0465385191858275,0.9758431211311264,-0.09999990438042076,-0.09999990462599727,1.0125105446603617,-0.08388890507735604,0.07962596085543264,0.09738817059402374,0.06000111682072624,0.9832940934821547,0.10528628432352587,0.10053885949938539,0.07245233799621933,0.9816715875397376,-0.9909209856696253,-0.06138538310734683,5.844381448517443e-05,-0.994662114894358,0.10053885949938539,0.07245233799621933,0.9851230422117974,0.05128678579599247,-0.09999990462599727,-0.09999990438042076
0.02000000000000001,0.11773281751946438,1.0175104807231325,0.0001850878420171335,0.05678786555605473,0.985123042211797,0.05203959894588988,0.975843121131126,-0.09999990438042076,-0.09999990462599727,1.0125105446603613,-0.08388890507735579,0.07962596085543314,0.09738817059402345,0.06000111682072584,0.9832940934821544,0.10528628432352555,0.10053885949938508,0.07245233799621986,0.980638640856696,-0.9909209856696252,-0.061385383107346446,5.8443814485173e-05,-0.994662114894358,0.10053885949938508,0.07245233799621986,0.985123042211797,0.05678786555605473,-0.09999990462599727,-0.09999990438042076
0.02100000000000001,0.12350280074625919,1.0183664270420343,0.00020345426905916787,0.06255784878284912,0.9851230422117981,0.0578095821726842,0.975843121131127,-0.09999990438042076,-0.09999990462599727,1.0125105446603624,-0.08388890507735586,0.07962596085543183,0.09738817059402355,0.060001116820726313,0.9832940934821555,0.10528628432352564,0.10053885949938524,0.07245233799621861,0.9795990302673739,-0.9909209856696252,-0.061385383107346855,5.844381448517457e-05,-0.994662114894358,0.10053885949938524,0.07245233799621861,0.9851230422117981,0.06255784878284912,-0.09999990462599727,-0.09999990438042076
0.022000000000000013,0.12954109044394813,1.0192204730641612,0.0002226747421233291,0.06859613848053957,0.9851230422117974,0.06384787187037468,0.9758431211311263,-0.09999990438042076,-0.09999990462599727,1.0125105446603613,-0.08388890507735472,0.07962596085543312,0.09738817059402223,0.06000111682072479,0.9832940934821547,0.10528628432352423,0.10053885949938382,0.07245233799622004,0.9785527795146056,-0.9909209856696253,-0.061385383107345357,5.8443814485168874e-05,-0.9946621148943579,0.10053885949938382,0.07245233799622004,0.9851230422117974,0.06859613848053957,-0.09999990462599727,-0.09999990438042076
0.023000000000000013,0.13584708813656443,1.0200726140781193,0.00024274735620144852,0.07490213617315512,0.9851230422117974,0.07015386956299018,0.9758431211311264,-0.09999990438042076,-0.09999990462599727,1.0125105446603615,-0.0838889050773554,0.07962596085543291,0.09738817059402301,0.06000111682072553,0.9832940934821547,0.10528628432352508,0.10053885949938463,0.07245233799621972,0.9774999123598661,-0.9909209856696252,-0.061385383107346106,5.84438144851717e-05,-0.9946621148943579,0.10053885949938463,0.07245233799621972,0.9851230422117974,0.07490213617315512,-0.09999990462599727,-0.09999990438042076
0.024000000000000014,0.14242019387695512,1.0209228454009778,0.00026367020160242635,0.08147524191354547,0.9851230422117966,0.07672697530338063,0.9758431211311255,-0.09999990438042076,-0.09999990462599727,1.012510544660361,-0.08388890507735591,0.07962596085543361,0.0973881705940236,0.06000111682072583,0.9832940934821539,0.10528628432352571,0.10053885949938521,0.07245233799622028,0.9764404525829978,-0.9909209856696252,-0.06138538310734648,5.8443814485173035e-05,-0.9946621148943579,0.10053885949938521,0.07245233799622028,0.9851230422117966,0.08147524191354547,-0.09999990462599727,-0.09999990438042076
0.025000000000000015,0.1492598062557197,1.021771162378258,0.0002854413639806843,0.0883148542923092,0.9851230422117985,0.08356658768214426,0.9758431211311275,-0.09999990438042076,-0.09999990462599727,1.0125105446603628,-0.08388890507735614,0.0796259608554313,0.09738817059402385,0.06000111682072674,0.9832940934821558,0.10528628432352599,0.10053885949938557,0.07245233799621806,0.9753744239819351,-0.990920985669625,-0.061385383107347286,5.844381448517611e-05,-0.9946621148943579,0.10053885949938557,0.07245233799621806,0.9851230422117985,0.0883148542923092,-0.09999990462599727,-0.09999990438042076
0.026000000000000016,0.15636532241014528,1.022617560383923,0.0003080589243646072,0.09542037044673678,0.985123042211794,0.09067210383657201,0.9758431211311228,-0.09999990438042076,-0.09999990462599727,1.0125105446603582,-0.08388890507735554,0.07962596085543673,0.09738817059402316,0.060001116820724516,0.9832940934821514,0.10528628432352524,0.1005388594993846,0.07245233799622329,0.974301850372431,-0.9909209856696252,-0.06138538310734529,5.84438144851686e-05,-0.9946621148943577,0.1005388594993846,0.07245233799622329,0.985123042211794,0.09542037044673678,-0.09999990462599727,-0.09999990438042076
0.027000000000000017,0.16373613803313852,1.023462034820367,0.00033152095918497404,0.10279118606972919,0.9851230422117979,0.09804291945956435,0.975843121131127,-0.09999990438042076,-0.09999990462599727,1.0125105446603622,-0.08388890507735526,0.07962596085543228,0.09738817059402285,0.06000111682072558,0.9832940934821552,0.10528628432352491,0.1005388594993845,0.07245233799621915,0.9732227555877835,-0.990920985669625,-0.061385383107346134,5.844381448517169e-05,-0.9946621148943577,0.1005388594993845,0.07245233799621915,0.9851230422117979,0.10279118606972919,-0.09999990462599727,-0.09999990438042076
0.028000000000000018,0.1713716473821539,1.0243045811184035,0.0003558255403033776,0.1104266954187453,0.9851230422117986,0.10567842880858044,0.9758431211311276,-0.09999990438042076,-0.09999990462599727,1.0125105446603626,-0.08388890507735444,0.07962596085543176,0.0973881705940219,0.06000111682072491,0.983294093482156,0.10528628432352387,0.10053885949938354,0.07245233799621882,0.9721371634785627,-0.990920985669625,-0.06138538310734542,5.8443814485168955e-05,-0.9946621148943577,0.10053885949938354,0.07245233799621882,0.9851230422117986,0.1104266954187453,-0.09999990462599727,-0.09999990438042076
0.02900000000000002,0.17927124328811844,1.025145194737255,0.00038097073504063264,0.1183262913247084,0.9851230422117963,0.11357802471454344,0.9758431211311251,-0.09999990438042076,-0.09999990462599727,1.0125105446603606,-0.08388890507735634,0.07962596085543389,0.0973881705940241,0.060001116820726175,0.9832940934821535,0.10528628432352626,0.10053885949938571,0.07245233799622045,0.9710450979123386,-0.990920985669625,-0.061385383107346835,5.844381448517432e-05,-0.9946621148943579,0.10053885949938571,0.07245233799622045,0.9851230422117963,0.1183262913247084,-0.09999990462599727,-0.09999990438042076
0.03000000000000002,0.1874343171643528,1.0259838711645404,0.0004069546062051729,0.12648936520094348,0.985123042211797,0.12174109859077867,0.9758431211311259,-0.09999990438042076,-0.09999990462599727,1.0125105446603613,-0.08388890507735548,0.07962596085543323,0.0973881705940231,0.06000111682072551,0.9832940934821544,0.10528628432352519,0.10053885949938472,0.07245233799622,0.969946582773408,-0.9909209856696252,-0.06138538310734611,5.844381448517158e-05,-0.9946621148943579,0.10053885949938472,0.07245233799622,0.985123042211797,0.12648936520094348,-0.09999990462599727,-0.09999990438042076
0.03100000000000002,0.1958602590154887,1.026820605916263,0.00043377521212143604,0.13491530705207858,0.985123042211799,0.13016704044191368,0.975843121131128,-0.09999990438042076,-0.09999990462599727,1.0125105446603633,-0.08388890507735569,0.07962596085543092,0.09738817059402335,0.060001116820726424,0.9832940934821562,0.10528628432352545,0.10053885949938508,0.07245233799621778,0.9688416419625225,-0.9909209856696252,-0.06138538310734693,5.84438144851746e-05,-0.9946621148943579,0.10053885949938508,0.07245233799621778,0.985123042211799,0.13491530705207858,-0.09999990462599727,-0.09999990438042076
0.03200000000000002,0.2045484574463823,1.0276553945367992,0.00046143060665823534,0.1436035054829722,0.9851230422117974,0.13885523887280724,0.9758431211311264,-0.09999990438042076,-0.09999990462599727,1.0125105446603617,-0.0838889050773561,0.07962596085543268,0.09738817059402381,0.060001116820726286,0.9832940934821546,0.10528628432352594,0.10053885949938547,0.07245233799621935,0.9677302993966184,-0.990920985669625,-0.061385383107346904,5.844381448517445e-05,-0.9946621148943579,0.10053885949938547,0.07245233799621935,0.9851230422117974,0.1436035054829722,-0.09999990462599727,-0.09999990438042076
0.03300000000000002,0.21349829967102385,1.0284882325988853,0.0004899188392571207,0.15255334770761414,0.985123042211797,0.14780508109744928,0.9758431211311259,-0.09999990438042076,-0.09999990462599727,1.0125105446603613,-0.08388890507735586,0.07962596085543318,0.09738817059402355,0.06000111682072591,0.9832940934821542,0.10528628432352564,0.10053885949938517,0.07245233799621988,0.9666125790085435,-0.990920985669625,-0.061385383107346536,5.844381448517304e-05,-0.9946621148943579,0.10053885949938517,0.07245233799621988,0.985123042211797,0.15255334770761414,-0.09999990462599727,-0.09999990438042076
0.03400000000000002,0.22270917152144332,1.029319115703605,0.0005192379549607257,0.16176421955803277,0.9851230422117989,0.1570159529478678,0.9758431211311279,-0.09999990438042076,-0.09999990462599727,1.0125105446603633,-0.08388890507735608,0.07962596085543087,0.0973881705940238,0.06000111682072682,0.9832940934821561,0.10528628432352592,0.10053885949938554,0.07245233799621766,0.9654885047467878,-0.990920985669625,-0.06138538310734735,5.844381448517615e-05,-0.9946621148943579,0.10053885949938554,0.07245233799621766,0.9851230422117989,0.16176421955803277,-0.09999990462599727,-0.09999990438042076
